id,device_id,ts,voltage,humidity,temperature,latitude,longitude
251,device1,2025-11-11 18:08:39.240311+05:30,0.30,40.80,26.82,0,0
252,device2,2025-11-11 18:08:52.317912+05:30,0.49,35.15,30.18,0,0
253,device1,2025-11-11 18:08:53.989611+05:30,0.32,40.85,26.81,0,0
254,device2,2025-11-11 18:09:06.947454+05:30,0.49,35.19,30.15,0,0
255,device1,2025-11-11 18:09:09.265054+05:30,0.32,40.83,26.80,0,0
256,device2,2025-11-11 18:09:22.253146+05:30,0.49,35.21,30.15,0,0
257,device1,2025-11-11 18:09:23.819629+05:30,0.30,40.75,26.79,0,0
258,device2,2025-11-11 18:09:37.168702+05:30,0.49,35.17,30.13,0,0
259,device1,2025-11-11 18:09:38.868093+05:30,0.32,40.77,26.78,0,0
260,device2,2025-11-11 18:09:52.009179+05:30,0.49,35.21,30.12,0,0
261,device1,2025-11-11 18:09:54.249177+05:30,0.31,40.83,26.77,0,0
262,device2,2025-11-11 18:10:07.097118+05:30,0.49,35.22,30.08,0,0
263,device1,2025-11-11 18:10:09.001573+05:30,0.32,40.85,26.76,0,0
264,device2,2025-11-11 18:10:21.999476+05:30,0.49,35.29,30.07,0,0
265,device1,2025-11-11 18:10:24.358094+05:30,0.32,40.92,26.73,0,0
266,device2,2025-11-11 18:10:37.320116+05:30,0.49,35.33,30.05,0,0
267,device1,2025-11-11 18:10:39.052914+05:30,0.32,41.00,26.73,0,0
268,device2,2025-11-11 18:10:52.158145+05:30,0.49,35.33,30.04,0,0
269,device1,2025-11-11 18:10:53.961755+05:30,0.30,40.87,26.71,0,0
270,device2,2025-11-11 18:11:07.087805+05:30,0.49,35.32,30.03,0,0
271,device1,2025-11-11 18:11:08.692682+05:30,0.30,40.91,26.73,0,0
272,device2,2025-11-11 18:11:21.785262+05:30,0.49,35.33,30.01,0,0
273,device1,2025-11-11 18:11:23.755023+05:30,0.32,40.79,26.72,0,0
274,device2,2025-11-11 18:11:36.793392+05:30,0.49,35.34,29.96,0,0
275,device1,2025-11-11 18:11:38.84097+05:30,0.32,40.85,26.70,0,0
276,device2,2025-11-11 18:11:51.982988+05:30,0.49,35.46,29.91,0,0
277,device1,2025-11-11 18:11:53.959941+05:30,0.32,40.92,26.69,0,0
278,device2,2025-11-11 18:12:06.75189+05:30,0.49,35.57,29.90,0,0
279,device1,2025-11-11 18:12:08.926358+05:30,0.33,40.93,26.71,0,0
280,device2,2025-11-11 18:12:21.97147+05:30,0.49,35.50,29.88,0,0
281,device1,2025-11-11 18:12:23.830276+05:30,0.30,40.79,26.73,0,0
282,device2,2025-11-11 18:12:36.913693+05:30,0.49,35.54,29.85,0,0
283,device1,2025-11-11 18:12:38.770966+05:30,0.33,40.90,26.69,0,0
284,device2,2025-11-11 18:12:51.904319+05:30,0.49,35.57,29.81,0,0
285,device1,2025-11-11 18:12:54.078727+05:30,0.33,40.96,26.63,0,0
286,device2,2025-11-11 18:13:06.912635+05:30,0.49,35.62,29.78,0,0
287,device1,2025-11-11 18:13:08.921787+05:30,0.32,41.06,26.59,0,0
288,device2,2025-11-11 18:13:22.217239+05:30,0.49,35.67,29.75,0,0
289,device1,2025-11-11 18:13:23.887709+05:30,0.33,41.16,26.56,0,0
290,device2,2025-11-11 18:13:36.87674+05:30,0.49,35.75,29.72,0,0
291,device1,2025-11-11 18:13:38.984816+05:30,0.32,41.25,26.55,0,0
